1	20	1	0	4	0	1	0	0	4	17	61.04	No
1	24	1	1	2	0	1	0	1	2	25	43.73	No
1	22	1	1	1	0	1	1	1	3	29	74.57	No
2	20	1	0	4	0	1	0	0	1	6	47.55	No
2	18	1	0	3	0	5	0	0	5	21	25.38	No
2	19	1	1	1	0	1	1	1	6	19	52.73	No
1	20	1	0	4	0	1	0	0	3	11	57	No
1	19	1	1	2	0	3	0	0	5	23	59.38	Si
2	26	1	1	4	0	6	0	0	2	16	73.72	Si
2	23	1	1	1	0	1	1	1	5	28	60.22	No
1	118	1	0	1	0	2	1	1	1	5	0	No
1	18	1	0	3	0	4	1	1	6	19	50.45	Si
1	22	1	0	3	0	5	0	0	5	23	76.5	No
1	19	1	1	4	0	6	0	0	5	23	65.81	Si
2	21	1	1	1	0	1	1	1	4	19	49.06	No
2	21	1	0	1	0	2	1	1	3	22	70.36	No
1	26	1	0	4	0	7	0	1	1	16	74.77	Si
2	21	1	0	1	0	2	1	1	3	29	66.58	No
1	20	1	1	2	0	1	0	1	3	9	69.19	No
1	22	1	0	4	0	1	0	0	8	20	63.3	No
2	22	1	0	3	0	5	0	0	5	23	58	No
2	20	1	1	2	0	3	0	0	4	16	56.42	Si
2	20	1	0	3	0	5	0	0	5	23	52.35	No
1	118	1	0	4	0	1	0	0	1	0	0	No
1	23	1	0	3	0	5	0	0	4	27	61.85	No
2	27	1	1	2	0	1	0	1	1	16	80.76	Si
2	21	1	0	1	0	2	1	1	2	9	57.11	No
1	19	1	0	3	0	4	1	1	3	11	46	Si
2	24	1	0	4	0	7	0	1	2	21	82.13	Si
1	23	1	0	4	0	7	1	1	5	26	77	Si
2	20	1	1	2	0	1	0	1	3	12	62.7	No
2	18	1	0	3	0	4	1	1	5	21	29.13	Si
1	18	1	1	1	0	1	1	1	5	21	43.25	No
1	21	1	0	1	0	2	1	1	5	27	75.53	No
1	23	1	0	4	0	1	0	0	3	29	62.48	No
2	118	1	0	4	0	7	0	1	1	0	0	Si
1	25	1	0	4	0	7	1	1	3	12	58.65	Si
2	22	1	0	4	0	7	1	1	2	18	67.64	Si
1	32	1	0	3	0	4	1	1	2	5	68.63	Si
2	23	1	1	2	0	1	0	1	5	28	48.9	No
2	21	1	1	2	0	3	0	0	8	17	68.25	Si
2	21	1	0	1	0	2	1	1	8	20	66.85	No
2	18	1	1	1	0	1	1	1	5	21	41.56	No
2	19	1	0	4	0	1	0	0	4	17	59.07	No
2	20	1	0	4	0	7	0	1	2	12	47.6	Si
1	20	1	0	4	0	1	0	0	3	24	71.29	No
1	22	1	1	2	0	3	0	0	4	27	72.17	Si
2	23	1	0	4	0	1	0	0	2	12	39.88	No
1	21	1	0	4	0	7	0	1	1	5	54.44	Si
2	21	1	1	4	0	6	0	0	1	9	71	Si
2	18	1	1	4	0	6	0	0	5	21	50.67	Si
2	25	1	0	4	0	7	1	1	2	16	68.37	Si
1	22	1	0	3	0	4	1	1	5	26	90.12	Si
2	20	1	1	2	0	3	0	0	3	10	63.67	Si
1	25	1	0	3	0	5	0	0	3	13	54.33	No
2	21	1	1	2	0	1	0	1	3	21	67.4	No
2	19	1	0	4	0	7	0	1	4	15	70.82	Si
2	21	1	0	3	0	4	1	1	2	10	57.26	Si
2	24	1	0	3	0	5	0	0	4	27	55.83	No
2	26	1	0	3	0	4	1	1	18	82	33.8	Si
1	118	1	0	4	0	7	0	1	1	15	0	Si
2	21	1	0	3	0	4	1	1	8	19	69.21	Si
1	20	1	0	3	0	5	0	0	5	23	66.63	No
1	26	1	0	4	0	1	0	0	2	16	63.13	No
1	38	1	0	1	0	2	1	1	1	1	49.08	No
1	18	1	1	4	0	6	0	0	6	19	51.78	Si
2	19	1	1	1	0	1	1	1	3	12	72.38	No
1	20	1	0	3	0	4	1	1	5	27	63.64	Si
1	20	1	1	1	0	1	1	1	2	9	49.27	No
2	20	1	0	4	0	7	1	1	5	15	43.82	Si
2	20	1	1	1	0	1	1	1	3	13	46.9	No
1	19	1	0	1	0	2	1	1	5	23	54.93	No
2	28	1	1	2	0	1	0	1	1	3	79.91	Si
1	25	1	0	4	0	1	0	0	2	16	68.04	No
2	19	1	0	4	0	1	0	0	6	19	49	No
1	19	1	1	4	0	6	0	0	4	16	65.76	Si
2	22	1	1	2	0	1	0	1	3	12	58	No
1	19	1	0	4	0	1	0	0	1	5	54.58	No
1	36	1	0	3	0	5	0	0	2	9	43.15	No
1	18	1	0	4	0	7	0	1	6	19	43.82	Si
2	20	1	0	4	0	7	1	1	4	15	52.31	Si
1	21	1	0	4	0	7	1	1	8	19	71.52	Si
2	25	1	0	4	0	7	1	1	6	16	67.22	Si
2	23	1	0	3	0	4	1	1	8	19	69.91	Si
1	21	1	1	1	0	1	1	1	7	20	58.66	No
2	20	1	1	1	0	1	1	1	3	14	76.29	No
1	23	1	0	1	0	2	1	1	5	17	57.98	No
2	21	1	0	4	0	7	0	1	3	29	72.5	Si
1	20	1	0	3	0	5	0	0	5	19	57.64	No
2	24	1	1	2	0	3	0	0	7	22	79.25	Si
2	18	1	1	2	0	1	0	1	3	12	32	No
2	19	1	0	4	0	7	1	1	4	15	70.82	Si
2	24	1	0	4	0	7	0	1	7	20	57.42	Si
2	21	1	1	1	0	1	1	1	2	8	53.64	No
1	25	1	0	1	0	2	1	1	2	0	85.23	Si
2	118	1	1	2	0	1	0	1	1	0	0	No
2	22	1	0	3	0	5	0	0	7	18	69.05	No
2	23	1	1	2	0	3	0	0	3	24	79.4	Si
1	22	1	0	3	0	4	1	1	7	22	84.44	Si
2	36	1	0	3	0	5	0	0	7	22	64.41	No
1	22	1	0	1	0	2	1	1	3	17	65.59	No
2	19	1	0	1	0	2	1	1	4	16	70.88	No
1	20	1	0	4	0	7	0	1	1	4	62.09	Si
1	20	1	0	3	0	4	1	1	6	19	52.45	Si
1	24	1	0	4	0	7	1	1	3	9	51.39	Si
2	26	1	0	1	0	2	1	1	4	11	27.25	No
1	21	1	1	2	0	1	0	1	2	10	54.11	No
2	19	1	0	4	0	7	0	1	4	15	57	Si
1	18	1	1	1	0	1	1	1	5	21	38.33	No
1	24	1	0	4	0	1	0	0	2	8	53.33	No
1	20	1	0	4	0	1	0	0	3	10	79	No
2	20	1	0	4	0	7	0	1	2	8	63.5	Si
2	22	1	1	4	0	6	0	0	3	17	69.19	Si
2	19	1	0	4	0	7	1	1	5	21	46.89	Si
2	30	1	1	2	0	1	0	1	2	18	37.8	No
1	19	1	0	3	0	5	0	0	3	13	40.58	No
2	51	1	0	4	0	7	1	1	2	0	82.82	Si
2	22	1	0	4	0	7	0	1	1	12	69	Si
2	18	1	0	4	0	1	0	0	6	19	46.36	No
1	19	1	0	3	0	4	1	1	6	19	38.73	Si
2	118	1	0	1	0	2	1	1	1	10	0	No
1	22	1	0	3	0	4	1	1	7	22	84.02	Si
1	21	1	0	4	0	7	0	1	5	28	74.19	Si
1	28	1	1	1	0	1	1	1	1	3	0	No
2	21	1	0	4	0	7	1	1	5	23	48.36	Si
1	18	1	0	4	0	7	1	1	6	19	48.55	Si
1	47	1	1	2	0	1	0	1	1	6	79.31	Si
2	25	1	0	3	0	5	0	0	3	24	70.6	No
2	22	1	1	1	0	1	1	1	7	22	80.58	Si
2	21	1	1	2	0	1	0	1	3	10	56.5	No
2	24	1	0	3	0	4	1	1	4	15	55	Si
1	22	1	0	1	0	2	1	1	1	4	39.93	No
1	21	1	0	4	0	1	0	0	8	19	75.6	No
1	118	1	0	4	0	7	0	1	1	80	0	Si
2	24	1	0	4	0	7	1	1	3	13	24.86	Si
1	24	1	1	4	0	6	0	0	4	27	54.3	Si
2	118	1	1	2	0	1	0	1	1	0	0	No
1	118	1	1	1	0	1	1	1	1	3	0	No
2	25	1	0	4	0	7	1	1	1	5	77.04	Si
2	20	1	0	4	0	7	0	1	1	4	60.15	Si
1	23	1	0	3	0	4	1	1	4	25	79.17	Si
2	22	1	0	3	0	4	1	1	5	17	62.57	Si
2	24	1	0	4	0	1	0	0	3	12	67.17	No
2	19	1	0	4	0	1	0	0	5	27	75.74	No
1	18	1	0	4	0	7	1	1	5	21	43.56	Si
2	28	1	0	4	0	7	1	1	1	0	0	Si
2	30	1	0	4	0	1	0	0	1	5	78.65	No
1	22	1	0	4	0	7	0	1	2	13	63.51	Si
2	25	1	0	4	0	7	1	1	4	17	59.04	Si
1	28	1	0	3	0	5	0	0	2	16	65.76	No
2	25	1	0	3	0	4	1	1	3	9	68.12	Si
1	30	1	0	4	0	7	1	1	5	26	84.95	Si
1	42	1	0	4	0	7	1	1	2	9	63.67	Si
2	18	1	1	1	0	1	1	1	6	19	46.27	No
2	24	1	0	4	0	7	1	1	2	16	79.17	Si
